N,extreme_value,param_type,kl_fused,right_side,ratio,inequality_holds
2,100.0,position,9.210440366976515,31.297783723510477,0.29428410804876753,True
2,100.0,scale,198.6137056388801,394.4548225555204,0.503514456616701,True
2,1000.0,position,13.815511557963774,49.71688078734553,0.2778837155343069,True
2,1000.0,scale,,,inf,False
2,10000.0,position,18.420680753952364,68.13754569132989,0.270345527815163,True
2,10000.0,scale,,,inf,False
2,100000.0,position,23.025850930040455,86.55822627688227,0.26601574362655506,True
2,100000.0,scale,,,inf,False
3,100.0,position,10.021315031649332,70.42001337789857,0.14230776949546187,True
3,100.0,scale,298.6137056388801,887.523350749921,0.3364572947704009,True
3,1000.0,position,14.626441218624947,111.86298177152744,0.13075318561146942,True
3,1000.0,scale,,,inf,False
3,10000.0,position,19.23161096461314,153.30947780549226,0.12544306614241285,True
3,10000.0,scale,,,inf,False
3,100000.0,position,23.83678114620123,194.75600912298512,0.12239304580917298,True
3,100000.0,scale,,,inf,False
5,100.0,position,11.042937835596494,195.61114827194046,0.056453519818024364,True
5,100.0,scale,inf,2465.3426409720028,inf,False
5,1000.0,position,15.64809218171257,310.73050492090954,0.05035904725767266,True
5,1000.0,scale,,,inf,False
5,10000.0,position,20.253262209300676,425.8596605708118,0.04755853649569368,True
5,10000.0,scale,,,inf,False
5,100000.0,position,24.858432393704767,540.9889142305142,0.04594998481449963,True
5,100000.0,scale,,,inf,False
10,100.0,position,12.429220196836383,782.4445930877617,0.015885112257964414,True
10,100.0,scale,,9861.370563888011,,False
10,1000.0,position,17.034386422832473,1242.9220196836382,0.013705112752904843,True
10,1000.0,scale,,,inf,False
10,10000.0,position,21.639556569220566,1703.4386422832474,0.012703455253436916,True
10,10000.0,scale,,,inf,False
10,100000.0,position,26.244726754812657,2163.9556569220563,0.012128125948820201,True
10,100000.0,scale,,,inf,False
