Experiment Type,Number of Perturbations (N),Perturbation Pattern,Inequality Satisfaction Rate,Sample Size
Position Parameter Perturbations Only,2,opposite_direction,1.0,8
Position Parameter Perturbations Only,2,same_direction,1.0,8
Position Parameter Perturbations Only,3,opposite_direction,1.0,8
Position Parameter Perturbations Only,3,same_direction,1.0,8
Position Parameter Perturbations Only,5,opposite_direction,1.0,8
Position Parameter Perturbations Only,5,same_direction,1.0,8
Position Parameter Perturbations Only,10,opposite_direction,1.0,8
Position Parameter Perturbations Only,10,same_direction,1.0,8
Scale Parameter Perturbations Only,2,opposite_direction,1.0,6
Scale Parameter Perturbations Only,2,same_direction,1.0,6
Scale Parameter Perturbations Only,3,opposite_direction,1.0,6
Scale Parameter Perturbations Only,3,same_direction,1.0,6
Scale Parameter Perturbations Only,5,opposite_direction,1.0,6
Scale Parameter Perturbations Only,5,same_direction,1.0,6
Scale Parameter Perturbations Only,10,opposite_direction,1.0,6
Scale Parameter Perturbations Only,10,same_direction,1.0,6
Dual Parameter Perturbations,2,opposite_direction,1.0,24
Dual Parameter Perturbations,2,same_direction,0.9583333333333334,24
Dual Parameter Perturbations,3,opposite_direction,1.0,24
Dual Parameter Perturbations,3,same_direction,0.9583333333333334,24
Dual Parameter Perturbations,5,opposite_direction,1.0,24
Dual Parameter Perturbations,5,same_direction,1.0,24
Dual Parameter Perturbations,10,opposite_direction,1.0,24
Dual Parameter Perturbations,10,same_direction,1.0,24
Multivariate (d=1),2,random,1.0,50
Multivariate (d=1),3,random,1.0,50
Multivariate (d=1),5,random,1.0,50
Multivariate (d=2),2,random,1.0,50
Multivariate (d=2),3,random,1.0,50
Multivariate (d=2),5,random,1.0,50
Multivariate (d=5),2,random,1.0,50
Multivariate (d=5),3,random,1.0,50
Multivariate (d=5),5,random,1.0,50
Multivariate (d=10),2,random,1.0,50
Multivariate (d=10),3,random,1.0,50
Multivariate (d=10),5,random,1.0,50
Extreme Cases (position),2,extreme,1.0,4
Extreme Cases (scale),2,extreme,1.0,4
Extreme Cases (position),3,extreme,1.0,4
Extreme Cases (scale),3,extreme,1.0,4
Extreme Cases (position),5,extreme,1.0,4
Extreme Cases (scale),5,extreme,1.0,4
Extreme Cases (position),10,extreme,1.0,4
Extreme Cases (scale),10,extreme,1.0,4
