d,N,trial,kl_fused,right_side,ratio,inequality_holds
1,2,0,2.1342605274815973,4.65949475580069,0.4580454833272679,True
1,2,1,0.8916459773799348,1.7398066516698325,0.5124971654316589,True
1,2,2,0.170944717924836,0.5609271988017692,0.304753840230963,True
1,2,3,1.5626941709651097,2.611364841841107,0.5984204680734514,True
1,2,4,2.8933652973877706,5.116495179985183,0.5654975125758156,True
1,2,5,0.09796388124334077,1.009165868590947,0.09707411268290646,True
1,2,6,3.0126084355102045,6.461908488569643,0.4662103217399558,True
1,2,7,0.49094780494165713,1.0148248336021721,0.4837759076105903,True
1,2,8,0.199846909504644,5.033040694051886,0.03970699258220299,True
1,2,9,1.2275740575587952,1.8446929736370419,0.6654625323034001,True
1,2,10,0.11425023409002022,8.456389407025624,0.013510521877705912,True
1,2,11,2.8335752342918648,5.978107556853665,0.4739920129144017,True
1,2,12,1.439587913772334,2.709285780637059,0.5313532902512155,True
1,2,13,1.9129799600187565,5.159799431849212,0.3707469612502296,True
1,2,14,0.9438148478399799,2.630366937154585,0.3588148993618956,True
1,2,15,1.4918603509319803,3.515940615517912,0.42431329594917616,True
1,2,16,0.05370194795401506,3.9592023078458762,0.01356383023105309,True
1,2,17,0.025629888904304954,3.8944120390104695,0.006581195992506547,True
1,2,18,0.9583370263314288,3.1421104459600038,0.30499788050532056,True
1,2,19,2.0905520118004066,4.060624913578783,0.5148350454161804,True
1,2,20,2.1780767408059223,3.3713614268393792,0.6460525778892385,True
1,2,21,0.402909471498716,2.2749251608807763,0.1771088906250976,True
1,2,22,1.0180087259260564,1.075803905625439,0.9462772170679357,True
1,2,23,0.6046283897935822,1.274594789571255,0.4743691051780979,True
1,2,24,0.16013206885577302,4.427228399802806,0.036169823283322244,True
1,2,25,0.6938485983661655,1.8016336784573754,0.385121907223817,True
1,2,26,0.9644329647746455,2.7461469212164813,0.35119496241207054,True
1,2,27,2.9952398572464247,5.808163206461079,0.5156948506396101,True
1,2,28,1.7037322668419699,4.059174938845384,0.41972378439215274,True
1,2,29,2.3910044224773355,4.906796894217968,0.4872841639919574,True
1,2,30,1.1255501458969253,2.8369162057478956,0.396751283529785,True
1,2,31,2.0083027861276133,2.8444758435140147,0.7060361545016997,True
1,2,32,1.04906534518569,2.1338385530107495,0.4916329511928193,True
1,2,33,0.3368085048937266,0.8494584483602736,0.3964979164594509,True
1,2,34,0.21752520216189009,0.43109532471702217,0.5045872448388928,True
1,2,35,2.801928357951156,7.003403169118433,0.400080973533879,True
1,2,36,2.09187948841897,4.306195789387496,0.4857836454102601,True
1,2,37,1.97398311044907,4.9816537280597775,0.396250566218677,True
1,2,38,1.8808527051832427,2.996232006932483,0.627739340889307,True
1,2,39,0.9744775055410719,2.3536812159980127,0.41402272275341756,True
1,2,40,1.842473291151964,3.345054797743928,0.5508051145812678,True
1,2,41,1.156113188509158,9.02143664423572,0.12815178270390679,True
1,2,42,2.292512695911684,5.343817104871104,0.429002836534575,True
1,2,43,0.3382447924571397,6.584803783345208,0.05136748240132142,True
1,2,44,0.6631851297511303,1.1319770044062707,0.5858644894460336,True
1,2,45,0.2800636759080617,0.8853998961405263,0.3163132016717691,True
1,2,46,0.4471817520226642,0.5068483910818062,0.8822791191429239,True
1,2,47,0.5844699532206663,1.5326746587678568,0.38133986875631626,True
1,2,48,2.248248119520265,3.497566006578528,0.6428036283780102,True
1,2,49,1.788249800964444,3.979922518945589,0.44931774235600186,True
