实验类型,扰动数量 (N),扰动模式,不等式成立比例,样本数
仅位置参数扰动,2,opposite_direction,1.0,8
仅位置参数扰动,2,same_direction,1.0,8
仅位置参数扰动,3,opposite_direction,1.0,8
仅位置参数扰动,3,same_direction,1.0,8
仅位置参数扰动,5,opposite_direction,1.0,8
仅位置参数扰动,5,same_direction,1.0,8
仅位置参数扰动,10,opposite_direction,1.0,8
仅位置参数扰动,10,same_direction,1.0,8
仅尺度参数扰动,2,opposite_direction,1.0,6
仅尺度参数扰动,2,same_direction,1.0,6
仅尺度参数扰动,3,opposite_direction,1.0,6
仅尺度参数扰动,3,same_direction,1.0,6
仅尺度参数扰动,5,opposite_direction,1.0,6
仅尺度参数扰动,5,same_direction,1.0,6
仅尺度参数扰动,10,opposite_direction,1.0,6
仅尺度参数扰动,10,same_direction,1.0,6
双参数扰动,2,opposite_direction,1.0,24
双参数扰动,2,same_direction,0.9583333333333334,24
双参数扰动,3,opposite_direction,1.0,24
双参数扰动,3,same_direction,0.9583333333333334,24
双参数扰动,5,opposite_direction,1.0,24
双参数扰动,5,same_direction,1.0,24
双参数扰动,10,opposite_direction,1.0,24
双参数扰动,10,same_direction,1.0,24
多维 (d=1),2,random,1.0,50
多维 (d=1),3,random,1.0,50
多维 (d=1),5,random,1.0,50
多维 (d=2),2,random,1.0,50
多维 (d=2),3,random,1.0,50
多维 (d=2),5,random,1.0,50
多维 (d=5),2,random,1.0,50
多维 (d=5),3,random,1.0,50
多维 (d=5),5,random,1.0,50
多维 (d=10),2,random,1.0,50
多维 (d=10),3,random,1.0,50
多维 (d=10),5,random,1.0,50
极端情况 (position),2,extreme,1.0,4
极端情况 (scale),2,extreme,0.25,4
极端情况 (position),3,extreme,1.0,4
极端情况 (scale),3,extreme,0.25,4
极端情况 (position),5,extreme,1.0,4
极端情况 (scale),5,extreme,0.0,4
极端情况 (position),10,extreme,1.0,4
极端情况 (scale),10,extreme,0.0,4
