N,delta_mu,delta_s,D_indiv,D_fused,ratio,mu_range,s_range
2,0.01,-2.0,0.8676392383061122,2.6503911607705444,1.5273578255548297,0.0-2.0,-2.0--0.0
2,0.01,-1.9313793103448276,0.8158799023968732,2.518432483748,1.5433843120472799,0.0-2.0,-2.0--0.0
2,0.01,-1.8627586206896551,0.7651619602427309,2.387233791508181,1.55995326188908,0.0-2.0,-2.0--0.0
2,0.01,-1.7941379310344827,0.7155395779428475,2.256901608478292,1.5770627356258957,0.0-2.0,-2.0--0.0
2,0.01,-1.7255172413793103,0.6670684765437358,2.1275565313570843,1.5947062454371526,0.0-2.0,-2.0--0.0
2,0.01,-1.6568965517241379,0.6198058186504645,1.999334827460802,1.6128719409363226,0.0-2.0,-2.0--0.0
2,0.01,-1.5882758620689654,0.5738100727701939,1.872390134995181,1.631541710269922,0.0-2.0,-2.0--0.0
2,0.01,-1.5196551724137932,0.5291408543032795,1.7468952455454585,1.650690200292319,0.0-2.0,-2.0--0.0
2,0.01,-1.4510344827586206,0.4858587423308417,1.623043938510977,1.6702837647056044,0.0-2.0,-2.0--0.0
2,0.01,-1.3824137931034484,0.4440250716368324,1.5010528240483818,1.6902793557523381,0.0-2.0,-2.0--0.0
2,0.01,-1.3137931034482757,0.4037016997485412,1.3811631351305766,1.7106233835414606,0.0-2.0,-2.0--0.0
2,0.01,-1.2451724137931035,0.3649507491816749,1.26364239056273,1.7312505775041998,0.0-2.0,-2.0--0.0
2,0.01,-1.176551724137931,0.32783432553189623,1.1487858295009863,1.752082896806388,0.0-2.0,-2.0--0.0
2,0.01,-1.1079310344827586,0.29241421255878025,1.0369174949089977,1.7730285505540526,0.0-2.0,-2.0--0.0
2,0.01,-1.0393103448275862,0.2587515459525403,0.9283908197722162,1.7939812037731744,0.0-2.0,-2.0--0.0
2,0.01,-0.9706896551724138,0.22690646804760606,0.8235885478385869,1.8148194604699284,0.0-2.0,-2.0--0.0
2,0.01,-0.9020689655172414,0.196937766336358,0.7229218031216353,1.8354067291667353,0.0-2.0,-2.0--0.0
2,0.01,-0.8334482758620689,0.1689024992242918,0.6268281132710888,1.855591587305943,0.0-2.0,-2.0--0.0
2,0.01,-0.7648275862068965,0.14285561303552696,0.5357681958813941,1.875208766729219,0.0-2.0,-2.0--0.0
2,0.01,-0.6962068965517241,0.11884955480387138,0.450221339016816,1.8940808813284278,0.0-2.0,-2.0--0.0
2,0.01,-0.6275862068965516,0.09693388584747986,0.37067925261086776,1.9120210098360813,0.0-2.0,-2.0--0.0
2,0.01,-0.5589655172413792,0.07715490150225457,0.29763833963742126,1.9288362362093345,0.0-2.0,-2.0--0.0
2,0.01,-0.4903448275862068,0.05955526265925537,0.23159043619440833,1.9443322542245334,0.0-2.0,-2.0--0.0
