N,delta_mu,delta_s,D_indiv,D_fused,ratio_N,ratio_N2,ratio_eN,inequality_N,inequality_N2,inequality_eN
2,0.1,-5.0,3.636954569793089,8.65301365776125,0.5947980303101181,0.29739901515505907,0.16099431980119835,True,True,True
2,0.1,-4.827931034482758,3.467372812920427,8.30891158852088,0.5990783250620967,0.29953916253104834,0.16215286960638875,True,True,True
2,0.1,-4.655862068965517,3.2982540799934643,7.964824249295113,0.6037151820419256,0.3018575910209628,0.16340793031177436,True,True,True
2,0.1,-4.483793103448276,3.1296836923184395,7.62075768973991,0.6087482345615673,0.3043741172807837,0.16477022948835532,True,True,True
2,0.1,-4.3117241379310345,2.96176233823155,7.276720443518692,0.6142221769103506,0.3071110884551753,0.16625186456474225,True,True,True
2,0.1,-4.139655172413793,2.7946086974707556,6.93272454764724,0.6201874124561394,0.3100937062280697,0.1678664782490671,True,True,True
2,0.1,-3.9675862068965517,2.6283624558854957,6.588786979549843,0.6267007585650968,0.3133503792825484,0.16962944933001478,True,True,True
2,0.1,-3.7955172413793106,2.4631877448111736,6.2449316824138466,0.6338261969239964,0.3169130984619982,0.17155809576698822,True,True,True
2,0.1,-3.623448275862069,2.299277031860489,5.901192418516566,0.6416356464168155,0.32081782320840774,0.17367188388505359,True,True,True
2,0.1,-3.4513793103448274,2.136855476361793,5.557616786691601,0.6502097179910818,0.3251048589955409,0.17599263269504226,True,True,True
2,0.1,-3.279310344827586,1.9761857409656172,5.2142718743018195,0.6596383839600506,0.3298191919800253,0.17854469505394985,True,True,True
2,0.1,-3.107241379310345,1.8175732183302773,4.871252199589372,0.6700214536700166,0.3350107268350083,0.18135508641407735,True,True,True
2,0.1,-2.9351724137931035,1.6613715851868573,4.528690854416762,0.6814686874982595,0.34073434374912975,0.1844535156789193,True,True,True
2,0.1,-2.763103448275862,1.5079885322397042,4.1867751010454075,0.6940992937836038,0.3470496468918019,0.18787224903707372,True,True,True
2,0.1,-2.5910344827586207,1.3578914344226682,3.8457681321023953,0.708040428456177,0.3540202142280885,0.19164570385617866,True,True,True
2,0.1,-2.4189655172413795,1.211612620400844,3.50603928828838,0.7234241434214468,0.3617120717107234,0.19580962270029084,True,True,True
2,0.1,-2.246896551724138,1.0697537738988383,3.168105743344409,0.7403819973912993,0.37019099869564964,0.20039961464048103,True,True,True
2,0.1,-2.0748275862068963,0.9329888579893582,2.8326894618581364,0.7590362515053869,0.37951812575269345,0.2054487721686766,True,True,True
2,0.1,-1.9027586206896552,0.8020648093092625,2.5007939576241345,0.7794862486791485,0.38974312433957425,0.21098398448807454,True,True,True
2,0.1,-1.730689655172414,0.677799124015771,2.1738056607849723,0.8017883115228075,0.40089415576140375,0.2170204964714892,True,True,True
2,0.1,-1.5586206896551724,0.5610733838879123,1.853623786220513,0.8259275165469345,0.41296375827346726,0.223554268769583,True,True,True
2,0.1,-1.3865517241379308,0.4528217926260445,1.5428191001288887,0.8517805046338619,0.42589025231693095,0.23055191170009717,True,True,True
2,0.1,-1.2144827586206897,0.35401395859887175,1.2448136738311817,0.8790710391462718,0.4395355195731359,0.23793865613592824,True,True,True
2,0.1,-1.0424137931034485,0.26563151656473566,0.9640576432811951,0.9073261107612675,0.45366305538063373,0.2455864723757007,True,True,True
2,0.1,-0.8703448275862069,0.18863875226084936,0.7061527815519,0.9358532818530217,0.4679266409265109,0.25330793793498446,True,True,True
2,0.1,-0.6982758620689653,0.12394816378168794,0.47783832497097795,0.9637866152914595,0.48189330764572974,0.2608686691202519,True,True,True
2,0.1,-0.5262068965517237,0.0723827854112149,0.286725416458219,0.9903094182867481,0.49515470914337406,0.2680476112314444,True,True,True
2,0.1,-0.354137931034483,0.03463796851241785,0.14067445755465013,1.0153197747741598,0.5076598873870799,0.2748171785895895,False,True,True
2,0.1,-0.1820689655172414,0.011245964099409589,0.04679746195365486,1.0403168092122872,0.5201584046061436,0.2815831400611081,False,True,True
2,0.1,-0.01,0.0025468795730809735,0.010249312622620188,1.0060656902420342,0.5030328451210171,0.2723123702870879,False,True,True
2,0.4413793103448276,-5.0,3.802950664330674,9.189955782352449,0.60413325030407,0.302066625152035,0.16352108908511348,True,True,True
2,0.4413793103448276,-4.827931034482758,3.632988888258888,8.84583881387448,0.6087163411414845,0.30435817057074227,0.16476159687827474,True,True,True
2,0.4413793103448276,-4.655862068965517,3.4634204282174657,8.501730456170657,0.6136802210687919,0.30684011053439597,0.16610517307010408,True,True,True
2,0.4413793103448276,-4.483793103448276,3.294318180667069,8.157634246234593,0.6190684838905534,0.3095342419452767,0.16756361722037688,True,True,True
2,0.4413793103448276,-4.3117241379310345,3.1257683408034627,7.813555173881117,0.6249307627730885,0.3124653813865442,0.16915036356633667,True,True,True
2,0.4413793103448276,-4.139655172413793,2.957872742032974,7.469500278446002,0.6313236682143519,0.31566183410717596,0.17088073490353325,True,True,True
2,0.4413793103448276,-3.9675862068965517,2.790751571375354,7.125479490514245,0.6383118765926759,0.3191559382963379,0.17277223722392712,True,True,True
2,0.4413793103448276,-3.7955172413793106,2.624546506287947,6.781506819248772,0.6459693896642226,0.3229846948321113,0.1748449006247788,True,True,True
2,0.4413793103448276,-3.623448275862069,2.4594243172692214,6.4376020271246555,0.6543809848022213,0.32719049240111064,0.17712167184572433,True,True,True
2,0.4413793103448276,-3.4513793103448274,2.295580975701589,6.0937929919651435,0.6636438723428959,0.33182193617144795,0.17962886286353652,True,True,True
2,0.4413793103448276,-3.279310344827586,2.1332462958565155,5.750119037969492,0.6738695678434042,0.3369347839217021,0.1823966576572418,True,True,True
2,0.4413793103448276,-3.107241379310345,1.9726891212903688,5.406635632491392,0.6851859695149054,0.3425929847574527,0.18545967450810558,True,True,True
2,0.4413793103448276,-2.9351724137931035,1.8142230357297446,5.063421007003773,0.6977395980653346,0.3488697990326673,0.18885757225914468,True,True,True
2,0.4413793103448276,-2.763103448275862,1.6582125328790596,4.720585487422321,0.7116978966541518,0.3558489483270759,0.19263567284518227,True,True,True
2,0.4413793103448276,-2.5910344827586207,1.5050795135222836,4.378284636025794,0.7272513838454041,0.36362569192270205,0.1968455440338726,True,True,True
2,0.4413793103448276,-2.4189655172413795,1.355309886542354,4.036737748611472,0.7446152700379719,0.37230763501898595,0.20154543694579152,True,True,True
2,0.4413793103448276,-2.246896551724138,1.209459928100705,3.696253860609449,0.7640298315657967,0.38201491578289837,0.20680038731235717,True,True,True
2,0.4413793103448276,-2.0748275862068963,1.0681618971172806,3.3572682490641523,0.7857582867645426,0.3928791433822713,0.21268164058958983,True,True,True
2,0.4413793103448276,-1.9027586206896552,0.9321282166944491,3.020393531746086,0.8100799540370981,0.40503997701854905,0.2192648000478257,True,True,True
2,0.4413793103448276,-1.730689655172414,0.8021533198389301,2.686490898636988,0.8372747553972684,0.4186373776986342,0.22662563233710983,True,True,True
2,0.4413793103448276,-1.5586206896551724,0.6791120467528168,2.356768717335325,0.8675920006883422,0.4337960003441711,0.23483161829395252,True,True,True
2,0.4413793103448276,-1.3865517241379308,0.5639533120777586,2.0329174307894013,0.9011904829938743,0.45059524149693714,0.24392573853223154,True,True,True
2,0.4413793103448276,-1.2144827586206897,0.45768769872708326,1.7172903603809566,0.9380251889864357,0.46901259449321786,0.25389580926911287,True,True,True
2,0.4413793103448276,-1.0424137931034485,0.361367766617033,1.4131372915306928,0.9776309774110915,0.48881548870554575,0.26461593045763315,True,True,True
2,0.4413793103448276,-0.8703448275862069,0.27606028464602683,1.1248860894737787,1.0186960530343425,0.5093480265171713,0.2757310377388444,False,True,True
2,0.4413793103448276,-0.6982758620689653,0.2028103772970118,0.8584367803185962,1.05817659796253,0.529088298981265,0.28641725919922845,False,True,True
2,0.4413793103448276,-0.5262068965517237,0.1425987320510046,0.6213683991687102,1.0893652247666195,0.5446826123833097,0.29485910248381336,False,True,True
2,0.4413793103448276,-0.354137931034483,0.09629443204616073,0.4228568658251479,1.0978227319063545,0.5489113659531772,0.29714830073227677,False,True,True
2,0.4413793103448276,-0.1820689655172414,0.06460740308079127,0.2730073751359303,1.0564090263562205,0.5282045131781102,0.28593882959126665,False,True,True
2,0.4413793103448276,-0.01,0.04804551239587185,0.18136379582333095,0.9437083027077574,0.4718541513538787,0.25543406087939474,True,True,True
2,0.7827586206896552,-5.0,4.099971537823779,9.852350857833725,0.6007572715409171,0.30037863577045854,0.1626073110008893,True,True,True
2,0.7827586206896552,-4.827931034482758,3.9294686978842237,9.50822373546097,0.6049306195377355,0.30246530976886776,0.16373691346727806,True,True,True
2,0.7827586206896552,-4.655862068965517,3.759259280812633,9.164101053140993,0.6094352882172046,0.3047176441086023,0.16495619469052414,True,True,True
2,0.7827586206896552,-4.483793103448276,3.5893981164102655,8.819984634871199,0.6143080503209832,0.3071540251604916,0.16627510796944317,True,True,True
2,0.7827586206896552,-4.3117241379310345,3.419950218943923,8.475877054039508,0.6195906746748531,0.30979533733742654,0.1677049588957704,True,True,True
2,0.7827586206896552,-4.139655172413793,3.2509926525732613,8.131781941393712,0.625330692070094,0.312665346035047,0.16925861265570638,True,True,True
2,0.7827586206896552,-3.9675862068965517,3.0826167268567772,7.787704419654724,0.6315822813622648,0.3157911406811324,0.17095073387077625,True,True,True
2,0.7827586206896552,-3.7955172413793106,2.9149305754303394,7.4436517169324,0.6384072900118275,0.31920364500591375,0.17279806282813803,True,True,True
2,0.7827586206896552,-3.623448275862069,2.7480621769138542,7.099634032663093,0.6458764008604209,0.32293820043021043,0.1748197312925781,True,True,True
2,0.7827586206896552,-3.4513793103448274,2.5821628823347345,6.755665760338044,0.6540704506438533,0.32703522532192664,0.17703761938916956,True,True,True
2,0.7827586206896552,-3.279310344827586,2.417411516866599,6.411767214654322,0.6630818925448333,0.33154094627241665,0.1794767514732484,True,True,True
2,0.7827586206896552,-3.107241379310345,2.254019123900599,6.067967072415939,0.6730163697452655,0.33650818487263273,0.1821657220447047,True,True,True
2,0.7827586206896552,-2.9351724137931035,2.0922344139954365,5.724305824578794,0.683994320412617,0.3419971602063085,0.18513713017055186,True,True,True
2,0.7827586206896552,-2.763103448275862,1.9323499665142254,5.380840663091069,0.6961524512039596,0.3480762256019798,0.18842797831910013,True,True,True
2,0.7827586206896552,-2.5910344827586207,1.7747092025734328,5.037652408238702,0.7096447689759271,0.35482238448796355,0.19207995161347532,True,True,True
2,0.7827586206896552,-2.4189655172413795,1.6197140970543138,4.694855346667013,0.7246426013092823,0.36232130065464113,0.19613942338701504,True,True,True
2,0.7827586206896552,-2.246896551724138,1.4678335151599649,4.3526112379063,0.7413325818207576,0.3706662909103788,0.20065690986648316,True,True,True
2,0.7827586206896552,-2.0748275862068963,1.3196119331490146,4.011149321429716,0.7599107776817833,0.37995538884089164,0.2056854806642375,True,True,True
2,0.7827586206896552,-1.9027586206896552,1.1756781195713086,3.6707950160385563,0.7805697314025565,0.39028486570127824,0.21127725137058334,True,True,True
2,0.7827586206896552,-1.730689655172414,1.0367530995332817,3.332011302426963,0.8034727130130946,0.4017363565065473,0.21747641437703358,True,True,True
2,0.7827586206896552,-1.5586206896551724,0.9036563934177047,2.9954587489174456,0.8287051280598946,0.4143525640299473,0.22430608645123845,True,True,True
2,0.7827586206896552,-1.3865517241379308,0.7773091221026969,2.6620830958137103,0.8561854673120638,0.4280927336560319,0.2317442054434995,True,True,True
