N,extreme_value,param_type,kl_fused,right_side,ratio,inequality_holds
2,100.0,position,9.210440366976515,31.297783723510477,0.29428410804876753,True
2,1000.0,position,13.815511557963774,49.71688078734553,0.2778837155343069,True
2,10000.0,position,18.420680753952364,68.13754569132989,0.270345527815163,True
2,100000.0,position,23.025850930040455,86.55822627688227,0.26601574362655506,True
3,100.0,position,10.021315031649332,70.42001337789857,0.14230776949546187,True
3,1000.0,position,14.626441218624947,111.86298177152744,0.13075318561146942,True
3,10000.0,position,19.23161096461314,153.30947780549226,0.12544306614241285,True
3,100000.0,position,23.83678114620123,194.75600912298512,0.12239304580917298,True
5,100.0,position,11.042937835596494,195.61114827194046,0.056453519818024364,True
5,1000.0,position,15.64809218171257,310.73050492090954,0.05035904725767266,True
5,10000.0,position,20.253262209300676,425.8596605708118,0.04755853649569368,True
5,100000.0,position,24.858432393704767,540.9889142305142,0.04594998481449963,True
10,100.0,position,12.429220196836383,782.4445930877617,0.015885112257964414,True
10,1000.0,position,17.034386422832473,1242.9220196836382,0.013705112752904843,True
10,10000.0,position,21.639556569220566,1703.4386422832474,0.012703455253436916,True
10,100000.0,position,26.244726754812657,2163.9556569220563,0.012128125948820201,True
2,5.0,scale,8.613796436678545,14.508545343433383,0.5937050360860042,True
2,10.0,scale,18.613705643002415,34.45518574671418,0.540229438315465,True
2,20.0,scale,38.61370563888011,74.45482257200966,0.5186192687724763,True
2,30.0,scale,58.61370563888011,114.45482255552118,0.5121121533384672,True
3,5.0,scale,13.613706250684658,32.64422702272511,0.4170325810198399,True
3,10.0,scale,28.613705638880294,77.5241679301069,0.3690940051711025,True
3,20.0,scale,58.61370563888011,167.52335078702174,0.3498837944890307,True
3,30.0,scale,88.6137056388801,257.52335074992266,0.3440996918564159,True
5,5.0,scale,23.613705638907884,90.67840839645865,0.26041155834656327,True
5,10.0,scale,48.61370563888011,215.3449109169636,0.22574810536212495,True
5,20.0,scale,98.6137056388801,465.3426410750604,0.21191633204096072,True
5,30.0,scale,148.6137056388801,715.3426409720073,0.20775177813661977,True
10,5.0,scale,48.61370563888011,362.7136335858346,0.13402778704036747,True
10,10.0,scale,98.6137056388801,861.3796436678542,0.11448344102836182,True
10,20.0,scale,198.6137056388801,1861.3705643002415,0.10670293677580873,True
10,30.0,scale,298.6137056388801,2861.370563888029,0.1043603752018487,True
